author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
РГ-Девелопнт;developer;https://www.cian.ru/sale/flat/308473235/;Москва;7;27;1;34,9;17020451;2024;13,4 ;11,2 ;Щукино;;Щукинская;Октябрьское Поле ЖК
Лариса Бударова;realtor;https://www.cian.ru/sale/flat/307848334/;Москва;6;9;1;36,0;9200000;1975;-1,0;7 ;Орехово-Борисово Южное;Ореховый бульвар;Додедовская;
ФСК;developer;https://www.cian.ru/sale/flat/293677259/;Москва;45;47;1;34,3;20360480;2024;18,5 ;8,2 ;Обручевский;;Калужская;Архитектор ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва;22;22;1;158,0;7890000;1980;11 ;3 ;Тропарево-Никулино;Ленинский проспект;Юго-Западная;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/307819904/;Москва;3;17;1;38,7;13400000;2001;19 ;8 ;Северное Медведково;Полярная ;Медведково;
MR Group;developer;https://www.cian.ru/sale/flat/308416242/;Москва;8;44;1;40,8;21801250;2024;-1,0;-1,0;Марьина роща; 4-я Марьиной рощи;Марьина Роща;Mod
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525822/;Москва;22;22;1;143,0;8280000;1980;6,3 ;3 ;Тропарево-Никулино;Ленинский проспект;Юго-Западная;
FALCON GROUP;real_estate_agent;https://www.cian.ru/sale/flat/308453701/;Москва;17;25;1;50,0;19500000;2005;25 ;17 ;Хорошево-Мневники;бульвар Генерала Карбышева;Бульвар Генерала Карбышева;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/308525823/;Москва;22;22;1;16,0;8880000;1980;8 ;3 ;Тропарево-Никулино;Ленинский проспект;Юго-Западная;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/309088545/;Москва;3;33;1;37,6;15000000;2023;11,6 ;18,3 ;Очаково-Матвеевское;Очаковское шоссе;Аньевская;Матвеевский парк
Landis;real_estate_agent;https://www.cian.ru/sale/flat/308339754/;Москва;7;17;1;37,9;11700000;1991;18,9 ;8,4 ;Марьино;Люблинская ;Марьино;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307393465/;Москва;4;20;1;76,1;32164925;2024;27,7 ;21,3 ;Даниловский;Автозаводская ;Тульская;FORST
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/307458577/;Москва;6;9;1;33,0;11000000;1970;17 ;8 ;Коньково; Акадека Волгина;Университет Дружбы Народов;
Держава;real_estate_agent;https://khimki.cian.ru/sale/flat/308025817/;Хии;18;25;1;41,9;8490000;2009;18 ;10 ;;Молодежная ;Молжаниново;
МИЭЛЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/304922037/;Хии;3;17;1;30,0;7800000;2020;15 ;8,7 ;; Ини К.И. Вороницына;Хии;Две столицы
ГОРОДА;real_estate_agent;https://khimki.cian.ru/sale/flat/303922451/;Хии;11;25;1;41,8;8450000;2009;17,7 ;10,4 ;; Горшина;Хии;
ШАНС;real_estate_agent;https://khimki.cian.ru/sale/flat/302884925/;Хии;5;28;1;43,0;10400000;2014;20 ;12 ;р. Новые Хии; Бабакина;;Парк-тауэр
Rent21 Коерческая Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/307428927/;Хии;15;25;1;41,5;8500000;-1;17,6 ;10 ;; Горшина;Хии;Юбилейный
Home Market;real_estate_agent;https://khimki.cian.ru/sale/flat/308240916/;Хии;6;7;1;56,0;9200000;2017;15 ;19 ;; Береговая;Хии;
Рида;real_estate_agent;https://khimki.cian.ru/sale/flat/291886357/;Хии;3;17;1;41,6;8500000;2011;20,6 ;11 ;; Чернышевского;Хии;
Татьяна  Сидельникова;realtor;https://khimki.cian.ru/sale/flat/296085549/;Хии;13;18;1;37,0;7500000;2016;20 ;8 ;;проезд Транспортный;Хии;Две столицы
Держава;real_estate_agent;https://khimki.cian.ru/sale/flat/308453339/;Хии;14;25;1;45,0;8700000;2008;17,7 ;10,4 ;;Молодежная ;Молжаниново;
Алексей Хлыбов;realtor;https://khimki.cian.ru/sale/flat/306314071/;Хии;24;25;1;41,6;8700000;2016;14,4 ;12 ;; Родионова;Молжаниново;Новокуркино
ID 52109;realtor;https://khimki.cian.ru/sale/flat/306558168/;Хии;24;25;1;41,7;8650000;2014;18 ;10 ;;Совхозная ;Левобережная;
ДОМОФОН;real_estate_agent;https://khimki.cian.ru/sale/flat/298225688/;Хии;5;27;1;45,8;11000000;2016;18,2 ;17,9 ;;Молодежная ;Молжаниново;Менделеев
ОГРК;real_estate_agent;https://khimki.cian.ru/sale/flat/300525320/;Хии;17;25;1;42,0;8700000;2007;18 ;10 ;; Панфилова;Хии;
ИНКОМ-Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/308248804/;Хии;7;17;1;36,0;9300000;2006;17 ;9,5 ;;проспект Мельникова;Молжаниново;
Триуальная Арка;real_estate_agent;https://khimki.cian.ru/sale/flat/307545345/;Хии;17;25;1;41,8;8650000;-1;18 ;10,4 ;;Совхозная ;Левобережная;
Адреса;real_estate_agent;https://khimki.cian.ru/sale/flat/307060479/;Хии;1;18;1;44,7;9500000;2016;-1,0;13 ;;9 Мая ;Хии;Альфа Центавра
Олег Алябьев;realtor;https://khimki.cian.ru/sale/flat/307799450/;Хии;16;17;1;38,0;8800000;-1;-1,0;-1,0;р. Сходня;тупик 2-й Мичуринский;;
Элина Плиева;realtor;https://khimki.cian.ru/sale/flat/307137411/;Хии;6;10;1;35,0;8866000;2017;16 ;8,5 ;; Герна Титова;Хии;Солнечная систе
Салет Плюс;real_estate_agent;https://khimki.cian.ru/sale/flat/308858902/;Хии;17;25;1;42,2;8800000;2007;17,8 ;10 ;; Горшина;Хии;
ДОМОФОН;real_estate_agent;https://khimki.cian.ru/sale/flat/297750354/;Хии;3;27;1;45,6;10900000;2016;18,1 ;17,7 ;;Молодежная ;Молжаниново;Менделеев
ГОРОДА;real_estate_agent;https://khimki.cian.ru/sale/flat/307083328/;Хии;17;25;1;41,9;8800000;2008;17,8 ;10,4 ;;Молодежная ;Молжаниново;
Мост Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/307396539/;Хии;10;17;1;39,7;7800000;2012;20 ;9 ;; Ленина;Сходня;СтароСходненский
Салет Плюс МСК-Север;real_estate_agent;https://khimki.cian.ru/sale/flat/308133471/;Хии;9;25;1;42,0;8800000;-1;21 ;11 ;;Молодежная ;Молжаниново;
Константин Крупенников;realtor;https://khimki.cian.ru/sale/flat/300100203/;Хии;17;17;1;44,7;7700000;2013;19 ;11,8 ;;Первойская ;Сходня;Опти Парк
Салет Плюс - Хии 01;real_estate_agent;https://khimki.cian.ru/sale/flat/307314966/;Хии;22;25;1;42,0;8800000;2009;20 ;10 ;; Горшина;Хии;
Мост Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/307396434/;Хии;6;9;1;32,7;7800000;-1;16 ;10 ;; Герна Титова;Хии;Солнечная систе
Холдинг Профи;real_estate_agent;https://khimki.cian.ru/sale/flat/295328626/;Хии;24;27;1;42,0;8950000;2014;20 ;10 ;;проспект Мельникова;Молжаниново;Новокуркино
Салет Плюс МСК-Север;real_estate_agent;https://khimki.cian.ru/sale/flat/307079642/;Хии;2;17;1;38,0;9500000;1990;19 ;8 ;; Панфилова;Сходненская;
Екатерина Городенцева;realtor;https://khimki.cian.ru/sale/flat/295073288/;Хии;1;8;1;33,0;6150000;2013;15,3 ;8 ;;проезд Набережный;Шеретьевская;
Этажи Москва;real_estate_agent;https://khimki.cian.ru/sale/flat/308491327/;Хии;4;17;1;41,3;6500000;2014;29,2 ;6 ;;Железнодорожная ;Сходня;Авентин
ID 92315455;homeowner;https://khimki.cian.ru/sale/flat/286688624/;Хии;4;8;1;33,5;7200000;2013;-1,0;-1,0;;Ленинский проспект;Белорская;Лесной уголок
Адрес;real_estate_agent;https://khimki.cian.ru/sale/flat/305785977/;Хии;3;17;1;37,6;8500000;2012;16 ;10 ;; Чернышевского;Хии;Чернышевский
Евгения Чертковская;realtor;https://khimki.cian.ru/sale/flat/306176459/;Хии;5;8;1;31,0;6499000;2012;-1,0;8 ;;Овражная ;Подрезково;
Инна Гунина;realtor;https://khimki.cian.ru/sale/flat/299744180/;Хии;5;7;1;52,3;22000000;2013;23 ;24 ;; Олиийская;Молжаниново;
LAND Consulting;real_estate_agent;https://khimki.cian.ru/sale/flat/305034352/;Хии;21;30;1;60,0;21500000;2017;38 ;8 ;; Кудрявцева;Хии;Маяк
Преер Плюс;real_estate_agent;https://khimki.cian.ru/sale/flat/306841645/;Хии;2;16;1;36,0;7000000;2020;-1,0;10 ;; Микояна;Сходня;
Сергей Жаров;realtor;https://khimki.cian.ru/sale/flat/308214654/;Хии;11;17;1;40,1;7600000;2015;17,1 ;13,3 ;; 1-я Лесная;Подрезково;Подрезково
ID 107523700;homeowner;https://khimki.cian.ru/sale/flat/307612470/;Хии;8;15;1;45,3;6950000;2012;18,7 ;9,6 ;; Ленинградская;Сходня;Горный
Анна Черкасова;realtor;https://khimki.cian.ru/sale/flat/279520335/;Хии;4;10;1;50,0;19900000;2014;22 ;12 ;; Заречная;Молжаниново;
Галант;real_estate_agent;https://khimki.cian.ru/sale/flat/286544098/;Хии;5;17;1;41,0;7700000;2020;19 ;10 ;;;Молжаниново;Авиатор
Estwig-недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/303954577/;Хии;14;17;1;45,0;8900000;2007;19 ;11 ;; 8 Марта;Хии;8 Марта 9
Андрей Филинов;realtor;https://khimki.cian.ru/sale/flat/306490107/;Хии;6;17;1;37,7;7900000;2003;19 ;8 ;; Марии Рубцовой;Молжаниново;
ID 120094391;homeowner;https://khimki.cian.ru/sale/flat/305634810/;Хии;2;17;1;40,9;7400000;2012;21,2 ;11,6 ;;тупик 2-й Мичуринский;Сходня;
Риэлти-Город;real_estate_agent;https://khimki.cian.ru/sale/flat/293741121/;Хии;12;17;1;36,6;7990000;2013;17 ;10 ;;;Молжаниново;Авиатор
Владис;real_estate_agent;https://khimki.cian.ru/sale/flat/307306374/;Хии;1;8;1;33,7;7200000;2015;15 ;10 ;;проезд Набережный;Шеретьевская;
НАТАНИЭЛЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/286545686/;Хии;1;17;1;48,0;7500000;-1;19 ;12 ;;;Молжаниново;
МИЭЛЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/307605135/;Хии;5;23;1;54,2;11870000;2005;20 ;12,2 ;; Лавочкина;Хии;Лавочкина 23А
МБК;real_estate_agent;https://khimki.cian.ru/sale/flat/307965744/;Хии;8;26;1;41,0;9499000;2017;20 ;10 ;; Родионова;Молжаниново;Новокуркино
ID 76566686;unknown;https://khimki.cian.ru/sale/flat/270306779/;Хии;15;18;1;33,0;7400000;-1;15,7 ;8 ;р. Старые Хии; Герна Титова;;Солнечная систе
Пётр Баля;realtor;https://khimki.cian.ru/sale/flat/298767910/;Хии;5;16;1;36,7;7800000;2006;19,8 ;11,4 ;;Вишневая ;Сходня;
ID 148684;realtor;https://khimki.cian.ru/sale/flat/307340401/;Хии;5;10;1;38,0;7250000;2015;20 ;8,5 ;;Овражная ;Сходня;На Овражной
ИНКОМ-Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/308358031/;Хии;13;16;1;36,0;7490000;2019;9,8 ;17,5 ;;проезд Тепличный;Сходня;Хии 2019
ID 336952;realtor;https://khimki.cian.ru/sale/flat/305953615/;Хии;6;17;1;41,6;6700000;2013;16,6 ;11,8 ;;Первойская ;Сходня;Первойский(Хии)
Иннокентий Манякин;realtor;https://khimki.cian.ru/sale/flat/307112339/;Хии;6;8;1;45,0;8500000;2022;16 ;18 ;; Генерала Дьяконова;Шеретьевская;Rafinad
Салет плюс - Хии;real_estate_agent;https://khimki.cian.ru/sale/flat/309008808/;Хии;5;8;1;308,0;6300000;2011;14,5 ;10 ;;Овражная ;Подрезково;
Татьяна Анатольевна Листратенко;realtor;https://khimki.cian.ru/sale/flat/307129563/;Хии;13;17;1;33,1;7700000;2017;21 ;9 ;; Герна Титова;Хии;Солнечная систе
ID 98338548;homeowner;https://khimki.cian.ru/sale/flat/307184459/;Хии;10;18;1;30,0;8000000;2019;18 ;6 ;; Герна Титова;Молжаниново;Солнечная систе
Салет Плюс Эксперт;real_estate_agent;https://khimki.cian.ru/sale/flat/304826036/;Хии;1;8;1;35,7;6750000;2022;18 ;12 ;; Генерала Дьяконова;Шеретьевская;Rafinad
ID 20879051;unknown;https://khimki.cian.ru/sale/flat/308103198/;Хии;1;8;1;30,0;6500000;-1;-1,0;-1,0;Клязь кв-л;проезд Набережный;;Город набережных
Андрей Грачев;realtor;https://khimki.cian.ru/sale/flat/307435442/;Хии;1;5;1;40,0;7650000;2021;18 ;11 ;; Ивановская;Молжаниново;
Макрор;real_estate_agent;https://khimki.cian.ru/sale/flat/308854541/;Хии;6;25;1;51,8;13500000;2016;20 ;15,6 ;;9 Мая ;Молжаниново;Журавлик
Мост Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/307396515/;Хии;13;19;1;44,2;7550000;2014;20 ;9 ;;переулок 2-й Чапаевский;Сходня;
Дон;real_estate_agent;https://khimki.cian.ru/sale/flat/306941898/;Хии;3;7;1;34,0;7100000;2012;17,6 ;8 ;; Летчика Ивана Федорова;Шеретьевская;Город набережных
Елена Срнова;realtor;https://khimki.cian.ru/sale/flat/303557689/;Хии;5;28;1;54,8;11100000;2016;20 ;13 ;;Ленинский проспект;Хии;на Ленинскопроспекте
Вера Никитина;realtor;https://khimki.cian.ru/sale/flat/303874374/;Хии;3;5;1;33,0;7500000;-1;-1,0;-1,0;;Первойская ;Хии;
АЛЕКСА;real_estate_agent;https://khimki.cian.ru/sale/flat/292081570/;Хии;15;19;1;39,9;7800000;2017;18 ;11 ;; 1-я Лесная;Новоподрезково;
ID 86316187;realtor;https://khimki.cian.ru/sale/flat/308131758/;Хии;2;13;1;35,0;7500000;1994;19 ;10 ;; Панфилова;Хии;
ДИАЛЬ-НЕДВИЖИМОСТЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/307403578/;Хии;7;17;1;41,9;8200000;2014;15,8 ;12,7 ;; 1-я Лесная;Подрезково;
ОГРК;real_estate_agent;https://khimki.cian.ru/sale/flat/306074290/;Хии;1;16;1;42,2;7200000;-1;18 ;13 ;;Центральная ;Подрезково;Подрезково
Евгений Николаев;realtor;https://khimki.cian.ru/sale/flat/297309144/;Хии;14;14;1;42,6;7500000;2018;16,4 ;15,9 ;; 1-я Лесная;Подрезково;Подрезково
Этажи Дтров;real_estate_agent;https://khimki.cian.ru/sale/flat/308678874/;Хии;3;6;1;42,5;7500000;-1;24,2 ;10 ;; Папанина;Сходня;
Дтрий Деганов;realtor;https://khimki.cian.ru/sale/flat/294916651/;Хии;6;19;1;48,6;8300000;2017;21 ;15,9 ;; 1-я Лесная;Новоподрезково;
ID 112477775;homeowner;https://khimki.cian.ru/sale/flat/299883760/;Хии;11;19;1;42,5;8150000;2014;30 ;9,2 ;;Центральная ;Подрезково;
Татьяна Воробьева;realtor;https://khimki.cian.ru/sale/flat/306685849/;Хии;18;25;1;50,0;10500000;2013;22 ;10 ;;Юбилейный проспект;Молжаниново;Юбилейный 82А
Игорь Жк;realtor;https://khimki.cian.ru/sale/flat/307271440/;Хии;5;7;1;32,5;6800000;2014;15 ;8 ;;проезд Набережный;Шеретьевская;
ИНКОМ-Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/308551563/;Хии;14;25;1;37,2;8000000;2005;20,7 ;10,2 ;;Молодежная ;Молжаниново;
ID 279528;realtor;https://khimki.cian.ru/sale/flat/298433286/;Хии;3;4;1;33,4;7800000;2012;-1,0;-1,0;р. Старые Хии; Опанасенко;;
ИНКОМ-Недвижисть;real_estate_agent;https://khimki.cian.ru/sale/flat/307974356/;Хии;11;25;1;42,0;8500000;-1;21 ;11 ;;проспект Мельникова;Молжаниново;
ID 1262;realtor;https://khimki.cian.ru/sale/flat/305688974/;Хии;17;18;1;304,0;6800000;2019;15 ;7,6 ;; Герна Титова;Хии;Солнечная систе
Этажи Москва;real_estate_agent;https://khimki.cian.ru/sale/flat/303230881/;Хии;8;20;1;40,0;10700000;2020;-1,0;11 ;;Ленинский проспект;Хии;на Ленинскопроспекте
Максива и Ко;real_estate_agent;https://khimki.cian.ru/sale/flat/300962643/;Хии;8;17;1;42,0;9500000;2003;-1,0;11 ;;Юбилейный проспект;Хии;Аист
АВИЛОН;real_estate_agent;https://khimki.cian.ru/sale/flat/289904170/;Хии;21;23;1;37,1;7799000;2015;16 ;12 ;; Акадека Грушина;Речной вокзал;Лернтов
ID 68063790;homeowner;https://khimki.cian.ru/sale/flat/273459276/;Хии;3;5;1;45,6;7500000;2014;-1,0;-1,0;; Фрунзе;Сходня;
ID 93644479;homeowner;https://khimki.cian.ru/sale/flat/291806142/;Хии;6;8;1;299,0;7000000;-1;20 ;6,5 ;;Овражная ;Подрезково;Новосходненский
Елена Видерская;realtor;https://khimki.cian.ru/sale/flat/303136947/;Хии;11;17;1;44,7;9700000;2007;22 ;10 ;; 8 Марта;Хии;8 Марта 9
НОВОСЁЛ;real_estate_agent;https://khimki.cian.ru/sale/flat/292243394/;Хии;12;17;1;33,0;7500000;-1;17 ;7 ;; Герна Титова;Молжаниново;Солнечная систе
ID 108576792;homeowner;https://khimki.cian.ru/sale/flat/294734927/;Хии;14;17;1;38,0;7480000;2019;10 ;18 ;;проезд Тепличный;Новоподрезково;Хии 2019
ID 13054250;realtor;https://khimki.cian.ru/sale/flat/308184911/;Хии;3;18;1;44,0;7500000;2013;20 ;12,5 ;;Первойская ;Сходня;Первойский(Хии)
ID 96700498;homeowner;https://khimki.cian.ru/sale/flat/304555182/;Хии;5;10;1;46,7;6400000;2010;18 ;16 ;; Папанина;Сходня;
АртеДроздов;realtor;https://khimki.cian.ru/sale/flat/306669325/;Хии;11;18;1;41,6;7300000;-1;17 ;12 ;;Первойская ;Сходня;Первойский(Хии)
ID 10069;real_estate_agent;https://khimki.cian.ru/sale/flat/307936421/;Хии;4;7;1;34,2;7990000;-1;14,4 ;8,1 ;;проезд Набережный;Шеретьевская;
Алексей Булатников;realtor;https://khimki.cian.ru/sale/flat/301994046/;Хии;2;10;1;318,0;7500000;2015;16 ;8,5 ;; Герна Титова;Молжаниново;Солнечная систе
Гульнара Трушева;realtor;https://khimki.cian.ru/sale/flat/307448442/;Хии;6;17;1;40,0;10550000;2003;20 ;12,5 ;;Юбилейный проспект;Хии;Аист
Иерия;real_estate_agent;https://khimki.cian.ru/sale/flat/278511661/;Хии;9;16;1;42,3;8000000;-1;18 ;20 ;р. Подрезково;Центральная ;;Подрезково
Евгения Железняк;realtor;https://khimki.cian.ru/sale/flat/306560657/;Хии;1;5;1;317,0;7650000;2019;17 ;12 ;; Ивановская;Молжаниново;
ID 22996800;homeowner;https://khimki.cian.ru/sale/flat/306787651/;Хии;1;17;1;37,6;7900000;1998;18,9 ;8,4 ;; Бабакина;Сходненская;
Владис;real_estate_agent;https://khimki.cian.ru/sale/flat/308245341/;Хии;15;17;1;43,5;7880000;2012;18 ;11,5 ;;Центральная ;Подрезково;
ID 112973075;homeowner;https://khimki.cian.ru/sale/flat/302282369/;Хии;6;9;1;47,8;6700000;2010;22 ;14 ;; Папанина;Сходня;
Градоръ;real_estate_agent;https://khimki.cian.ru/sale/flat/306832455/;Хии;12;17;1;43,8;7500000;2019;20 ;10 ;; Микояна;Сходня;
ID 51321697;homeowner;https://khimki.cian.ru/sale/flat/308340641/;Хии;1;8;1;33,0;7250000;-1;-1,0;-1,0;Клязь кв-л;проезд Набережный;;
ID 267137;homeowner;https://khimki.cian.ru/sale/flat/241711965/;Хии;17;17;1;48,0;7950000;2019;17,3 ;13,6 ;; Микояна;Сходня;
Лина Каверина;realtor;https://khimki.cian.ru/sale/flat/307105576/;Хии;3;9;1;33,4;7650000;2014;17,3 ;7,8 ;; Летчика Ивана Федорова;Шеретьевская;
Преер Плюс;real_estate_agent;https://khimki.cian.ru/sale/flat/307182871/;Хии;2;3;1;41,3;9700000;2012;30 ;6 ;; Опанасенко;Хии;
ID 158340;realtor;https://khimki.cian.ru/sale/flat/306421373/;Хии;8;17;1;27,0;6200000;-1;12 ;7 ;;проезд Тепличный;Сходня;Хии 2019
ID 75003125;homeowner;https://khimki.cian.ru/sale/flat/304145518/;Хии;9;17;1;33,0;8150000;2019;-1,0;8 ;; Герна Титова;Хии;Солнечная систе
НАТАНИЭЛЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/307628798/;Хии;8;17;1;42,0;7800000;-1;20 ;10 ;; 1-я Лесная;Подрезково;Подрезково
Этажи Москва;real_estate_agent;https://khimki.cian.ru/sale/flat/305747074/;Хии;4;8;1;39,9;7790000;2021;-1,0;9 ;; Генерала Дьяконова;Шеретьевская;Rafinad
ГОРОБМЕН;real_estate_agent;https://khimki.cian.ru/sale/flat/306856836/;Хии;5;9;1;33,6;8000000;2013;16 ;8,4 ;; Летчика Ивана Федорова;Шеретьевская;
