author_type;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;underground;price_per_sqm
realtor;Химки;11;25;1;37;8700000;2007;18;10;;Левобережная;235135
realtor;Химки;18;23;1;42;8690000;-1;18;11;;Молжаниново;206905
realtor;Химки;3;26;1;40;8700000;2017;19;9;;Молжаниново;217500
real_estate_agent;Химки;18;23;1;43;8700000;-1;18;11;;Химки;202326
unknown;Химки;7;25;1;41;8700000;2014;18;10;;Левобережная;212195
homeowner;Химки;1;8;1;41;8700000;2013;-1;14;;Химки;212195
real_estate_agent;Химки;9;25;1;41;8799000;2007;21;11;;Молжаниново;214610
realtor;Химки;12;12;1;43;8800000;2014;18;11;;Подрезково;204651
real_estate_agent;Химки;5;17;1;42;8800000;2017;20;18;;Молжаниново;209524
realtor;Химки;13;18;1;46;8800000;2005;21;11;;Химки;191304
real_estate_agent;Химки;3;4;1;43;8800000;2015;23;11;;Молжаниново;204651
realtor;Химки;5;23;1;42;8850000;2011;20;10;;Молжаниново;210714
